Name	Govdirectory URL	Type	Website	source_file
Baboi Craic	https://www.govdirectory.org/east-timor/Q797729/	suco of East Timor		East Timor
Baboi Leten	https://www.govdirectory.org/east-timor/Q797731/	suco of East Timor		East Timor
Babulo	https://www.govdirectory.org/east-timor/Q797781/	suco of East Timor		East Timor
Babulo (Uato-Lari)	https://www.govdirectory.org/east-timor/Q797778/	suco of East Timor		East Timor
Bado-Ho’o	https://www.govdirectory.org/east-timor/Q799670/	suco of East Timor		East Timor
Baduro	https://www.govdirectory.org/east-timor/Q799706/	suco of East Timor		East Timor
Bahalarauain	https://www.govdirectory.org/east-timor/Q800189/	suco of East Timor		East Timor
Bahatata	https://www.govdirectory.org/east-timor/Q800224/	suco of East Timor		East Timor
Bahu	https://www.govdirectory.org/east-timor/Q803668/	suco of East Timor		East Timor
Bairro Pite	https://www.govdirectory.org/east-timor/Q803959/	suco of East Timor		East Timor
Balibar	https://www.govdirectory.org/east-timor/Q804955/	suco of East Timor		East Timor
Bandudato	https://www.govdirectory.org/east-timor/Q220251/	suco of East Timor		East Timor
Baricafa	https://www.govdirectory.org/east-timor/Q808182/	suco of East Timor		East Timor
Barique	https://www.govdirectory.org/east-timor/Q155121/	suco of East Timor		East Timor
Batara	https://www.govdirectory.org/east-timor/Q810722/	suco of East Timor		East Timor
Batu Mano	https://www.govdirectory.org/east-timor/Q811039/	suco of East Timor		East Timor
Batugade	https://www.govdirectory.org/east-timor/Q811044/	suco of East Timor		East Timor
Bauro	https://www.govdirectory.org/east-timor/Q811834/	suco of East Timor		East Timor
Bebonuk	https://www.govdirectory.org/east-timor/Q22063710/	suco of East Timor		East Timor
Beco	https://www.govdirectory.org/east-timor/Q813763/	suco of East Timor		East Timor
Becora	https://www.govdirectory.org/east-timor/Q813767/	suco of East Timor		East Timor
Beiseuc	https://www.govdirectory.org/east-timor/Q814869/	suco of East Timor		East Timor
Belecasac	https://www.govdirectory.org/east-timor/Q815340/	suco of East Timor		East Timor
Beloi	https://www.govdirectory.org/east-timor/Q816124/	suco of East Timor		East Timor
Belulic Leten	https://www.govdirectory.org/east-timor/Q816224/	suco of East Timor		East Timor
Bemori	https://www.govdirectory.org/east-timor/Q816385/	suco of East Timor		East Timor
Beneufe	https://www.govdirectory.org/east-timor/Q817130/	suco of East Timor		East Timor
Bereleu	https://www.govdirectory.org/east-timor/Q818986/	suco of East Timor		East Timor
Beremana	https://www.govdirectory.org/east-timor/Q818987/	suco of East Timor		East Timor
Betano	https://www.govdirectory.org/east-timor/Q186260/	suco of East Timor		East Timor
Bibileo	https://www.govdirectory.org/east-timor/Q856288/	suco of East Timor		East Timor
Bidau Lecidere	https://www.govdirectory.org/east-timor/Q856888/	suco of East Timor		East Timor
Bidau Santana	https://www.govdirectory.org/east-timor/Q856893/	suco of East Timor		East Timor
Biqueli	https://www.govdirectory.org/east-timor/Q864955/	suco of East Timor		East Timor
Bobocasse	https://www.govdirectory.org/east-timor/Q888804/	suco of East Timor		East Timor
Bobometo	https://www.govdirectory.org/east-timor/Q888822/	suco of East Timor		East Timor
Bobonaro	https://www.govdirectory.org/east-timor/Q491353/	suco of East Timor		East Timor
Bocolelo	https://www.govdirectory.org/east-timor/Q62938345/	suco of East Timor		East Timor
Bualale	https://www.govdirectory.org/east-timor/Q997334/	suco of East Timor		East Timor
Bucoli	https://www.govdirectory.org/east-timor/Q1000384/	suco of East Timor		East Timor
Buibau	https://www.govdirectory.org/east-timor/Q1002707/	suco of East Timor		East Timor
Builale	https://www.govdirectory.org/east-timor/Q1002965/	suco of East Timor		East Timor
Builo	https://www.govdirectory.org/east-timor/Q65227967/	suco of East Timor		East Timor
Buruma	https://www.govdirectory.org/east-timor/Q1017162/	suco of East Timor		East Timor
Cacavei	https://www.govdirectory.org/east-timor/Q1024991/	suco of East Timor		East Timor
Caenlio	https://www.govdirectory.org/east-timor/Q1025388/	suco of East Timor		East Timor
Caibada	https://www.govdirectory.org/east-timor/Q1025822/	suco of East Timor		East Timor
Caicassa	https://www.govdirectory.org/east-timor/Q1025827/	suco of East Timor		East Timor
Caicoli	https://www.govdirectory.org/east-timor/Q1025831/	suco of East Timor		East Timor
Caicua	https://www.govdirectory.org/east-timor/Q1025833/	suco of East Timor		East Timor
Caimauc	https://www.govdirectory.org/east-timor/Q1025871/	suco of East Timor		East Timor
Cairui	https://www.govdirectory.org/east-timor/Q1025980/	suco of East Timor		East Timor
